id	x	y	z	longitude	latitude
14117	-43.68939799378241	8.805224212391284	-45.93152	168.60517155864414	-45.863267632838316
14206	-44.06105600680146	7.441160783473615	-45.8176	170.41417110527485	-45.7170060574239
14261	-43.69395705951627	9.696999981496777	-45.7472	167.48714835319163	-45.62681083458236
14405	-43.67877165678442	10.59192487983586	-45.56288	166.36912514773988	-45.391347295995075
14494	-44.10411761952383	9.231405305889648	-45.44896	168.17812469436976	-45.246307254512416
14583	-44.4864196796275	7.854464481201197	-45.33504	169.9871242410004	-45.1016366006151
14638	-44.09605084583658	10.131666470615542	-45.26464	167.060101488918	-45.012416431257144
14727	-44.5054525679528	8.75655041687674	-45.15072	168.86910103554789	-44.868335576950784
14871	-44.504694788820416	9.662039784328215	-44.9664	167.75107783009614	-44.635976365767725
14960	-44.897866595091536	8.272642447184772	-44.85248	169.560077376726	-44.49282979324177
15049	-45.24701679727526	6.867948752974981	-44.73856	171.36907692335666	-44.35003372073586
15104	-44.90460365202601	9.183248503054443	-44.66816	168.44205417127426	-44.26196268068817
15193	-45.281266028178415	7.779887204049639	-44.55424	170.25105371790414	-44.1197264401276
15282	-45.61343446778333	6.361804331385539	-44.44032	172.0600532645348	-43.977831792751715
15337	-45.295679310272575	8.695495098874197	-44.36992	169.1330305124524	-43.8903134168027
15426	-45.65555889261055	7.2784892802950525	-44.256	170.94203005908227	-43.74896446280478
15515	-45.97048328634651	5.847344670304289	-44.14208	172.75102960571292	-43.60794852784636
15570	-45.677825402689486	8.19898094027634	-44.07168	169.82400685363052	-43.520968943410004
15659	-46.020654969046326	6.768652155517499	-43.95776	171.6330064002604	-43.3804850872705
15803	-46.05094738485455	7.693906389069063	-43.77344	170.51498319480865	-43.15387183602717
15892	-46.37646584673207	6.250578288166127	-43.65952	172.32398274143853	-43.01423170120057
16125	-46.72290497334934	5.724469199233051	-43.36128	173.01495908261666	-42.65014974267212
16269	-46.769750212590594	6.658873043562368	-43.17696	171.8969358771649	-42.4262003747223
16358	-47.059887701649316	5.190525548203636	-43.06304	173.70593542379478	-42.28818659610887
16502	-47.11525147537244	6.129310693219494	-42.87872	172.58791221834304	-42.06552121183267
16646	-47.15055219244243	7.072031998496755	-42.6944	171.46988901289126	-41.84363404992235
16735	-47.451369545325704	5.5919809765892685	-42.58048	173.27888855952114	-41.70687960359883
16968	-47.77801963348667	5.0470803921239735	-42.28224	173.96986490069926	-41.35022758426284
17112	-47.83077981036641	5.998469338576786	-42.09792	172.85184169524751	-41.130781941847175
17201	-48.09511901794354	4.494804851141559	-41.984	174.6608412418774	-40.99551880995147
17345	-48.156834413655844	5.450325784146508	-41.79968	173.54281803642527	-40.77725164852819
17811	-48.780402545963156	4.332278524493882	-41.2032	174.92477071878153	-40.07576310712058
17900	-48.988317420731185	2.7956797683721426	-41.08928	176.73377026541178	-39.94261125606234
18044	-49.077753511367	3.7627593167653104	-40.90496	175.61574705995966	-39.72772131845979
18133	-49.266429235920214	2.215853348140439	-40.79104	177.4247466065899	-39.59524185128023
18188	-49.14688289479711	4.734277105905231	-40.72064	174.4977238545075	-39.51349908064974
18277	-49.36537770841868	3.1864987912692837	-40.60672	176.3067234011378	-39.3814277011466
18421	-49.44400289587982	4.161749136147928	-40.4224	175.18870019568564	-39.16826652970832
18510	-49.64319940429178	2.603688344507451	-40.30848	176.9976997423159	-39.03684371098167
18654	-49.73145172249728	3.582526185155085	-40.12416	175.87967653686377	-38.82472038187888
18743	-49.91114512832057	2.0145190796121693	-40.01024	177.68867608349402	-38.693931991569826
18887	-50.009152190950815	2.996797172969648	-39.825920000000004	176.5706528780419	-38.4828239886363
19031	-50.086671611228724	3.9835758244240007	-39.6416	175.45262967258972	-38.27233252222893
19120	-50.27702942009526	2.4047508204543777	-39.52768	177.26162921922003	-38.142541806451696
19264	-50.364412414931316	3.394994257596334	-39.34336	176.14360601376785	-37.933030655916944
19353	-50.53501085040774	1.8065756656095888	-39.22944	177.95260556039815	-37.803839349269154
19408	-50.43116274699267	4.389465829088862	-39.15904	175.0255828083157	-37.724114924856174
19497	-50.63237947114281	2.8001345103042468	-39.04512	176.83458235494598	-37.5952877103466
19641	-50.70909852606712	3.7980982127397347	-38.8608	175.71655914949383	-37.387318937126295
19785	-50.76504426339343	4.800018306767812	-38.67648	174.59853594404171	-37.17992545243117
20018	-51.043323108551	4.205931589845808	-38.37824	175.28951228521984	-36.8455508184757
20162	-51.08842954577259	5.215059115698499	-38.19392	174.17148907976767	-36.639628553272644
20395	-51.36719334127707	4.618320644721481	-37.89568	174.8624654209458	-36.307594598801
20916	-51.70413886330855	6.057926622509238	-37.2288	173.31739535121963	-35.57020062446325
21149	-51.98427494082683	5.456088064073334	-36.93056	174.00837169239776	-35.24262017606165
