id	x	y	z	longitude	latitude
93390	22.733547907800034	-22.242419868291325	55.53792	-44.37436709279973	60.20167711375601
93534	22.06806837614762	-22.45066430037369	55.72224	-45.49239029825151	60.535426558054674
93623	22.61934476267568	-21.60297384532085	55.83616	-43.68339075162163	60.743433276533196
93678	21.40014014772034	-22.638254142586355	55.90656	-46.61041350370323	60.87265323790631
93822	20.730283178090765	-22.805011295365922	56.09088	-47.728436709155744	61.21348021873928
93856	22.48436850710349	-20.961448172222568	56.1344	-42.99241441044353	61.29449266154864
93911	21.294981795851832	-21.989638634464622	56.2048	-45.91943716252513	61.425987002868155
93966	20.059023246108275	-22.950761455169364	56.2752	-48.84645991460832	61.558037798038484
94000	21.827678484937064	-21.160203910166267	56.31872	-44.11043761589525	61.6399509302327
94089	22.327985586409397	-20.317928100165492	56.43264	-42.30143806926537	61.85540543968991
94110	19.386892008123105	-23.07533357581148	56.45952	-49.964483120060095	61.90646411422679
94144	21.168397115316367	-21.337887297637177	56.50304	-45.22846082134697	61.98931176809593
94199	19.962644941899562	-22.29212178080077	56.57344	-48.15548357343022	62.12380901458737
94233	21.67516985012584	-20.51113971300951	56.61696	-43.419461274717094	62.20725208821373
94343	19.29480873091679	-22.411314906085657	56.75776	-49.27350677888194	62.47880980186369
94377	21.019678476862925	-20.68302944664794	56.80128	-44.53748448016887	62.56324670761557
94432	19.844155970080635	-21.62918139488208	56.87168	-47.46450723225206	62.700345706470486
94466	21.500164452453305	-19.859580496009066	56.9152	-42.728484933538994	62.78541658711062
94521	20.362034150708947	-20.833361655896116	56.9856	-45.65550768562139	62.92355380494979
94576	19.180259658241845	-21.742366555699977	57.056	-48.58253043770384	63.06234559986883
94610	20.848051632053814	-20.02507325621604	57.09952	-43.846508138990714	63.14847601128679
94665	19.70276591000325	-20.961900264270277	57.16992	-46.77353089107396	63.28834879627989
94699	21.30186020691507	-19.205546987561913	57.21344	-42.03750859236084	63.375155981009385
94720	18.5158991105638	-21.833626506492756	57.24032	-49.70055364315556	63.42890347925918
94754	20.193689298499976	-20.16870316530163	57.28384	-44.96453134444323	63.51613764945338
94809	19.042409228442224	-21.068407742374323	57.35424	-47.89155409652568	63.65781904614009
94843	20.65266524608326	-19.364001787224268	57.39776	-43.15553179781256	63.74575885411534
94898	19.537606017207732	-20.290207917386372	57.46816	-46.082554549895804	63.88859682698369
94932	21.07937271236381	-18.549035274936855	57.511680000000005	-41.34653225118274	63.97726113315282
94953	18.381506124729505	-21.152643941430398	57.53856	-49.00957730197746	64.03216503781616
95042	18.880336826714828	-20.389321498259726	57.65248	-47.20057775534758	64.26606278558916
95076	20.432578292535588	-18.69976813544499	57.696	-42.46455545663446	64.35594141983711
95097	17.720605304640877	-21.21436475934958	57.72288	-50.127600507429975	64.41160169514298
95131	19.347716331306245	-19.613997649722144	57.7664	-45.391578208717704	64.50195854384654
95165	20.831721554006396	-17.890011925371812	57.80992	-40.65555591000458	64.59261515890091
95186	18.222423339535382	-20.4657727289921	57.8368	-48.3186009607993	64.64876011081427
95220	19.783289575616283	-18.827905094962436	57.88032	-43.58257866208703	64.73990851131306
95241	17.060262339963224	-21.25332061235685	57.9072	-51.24562371288255	64.79635988049918
95275	18.69302243367547	-19.7049476978678	57.95072	-46.509601414169424	64.88800877130122
95309	20.186744750632506	-18.032289460720495	57.99424	-41.7735791154563	64.97997152092465
95330	17.564413873628457	-20.519283594255626	58.02112	-49.436624166251875	65.03693035336369
95364	19.13202999814516	-18.933119389590146	58.06464	-44.70060186753955	65.12940822446296
95385	16.40103988947032	-21.269254679786112	58.09152	-52.36364691833427	65.18668809857637
95419	18.03756631266212	-19.772792562375127	58.13504	-47.6276246196212	65.27969048675357
95453	19.539116315751162	-18.151531338318183	58.17856	-42.89160232090887	65.3730219447214
95474	16.906863618554148	-20.549567318802833	58.20544	-50.55464737170439	65.4308338774243
95508	18.479329080064232	-19.015074432383717	58.24896	-45.818625072991324	65.52470566338066
95542	19.913994863405758	-17.36143957250807	58.29248	-41.0826027742782	65.61891653480261
95563	17.381894179728477	-19.81721483748716	58.31936	-48.74564782507372	65.67727672099953
95597	18.88935403210659	-18.247370834049995	58.36288	-44.00962552636145	65.77204452792117
95618	16.250334840995304	-20.556326147878018	58.38976	-51.67267057715617	65.83075197606478
95631	20.25642257869888	-16.564111305867833	58.4064	-39.27360322764832	65.86716194570754
95652	17.82572243928118	-19.073421506360802	58.43328	-46.936648278443045	65.92608740457857
95707	16.726558919392243	-19.83788429177111	58.50368	-49.86367103052629	66.08106289553538
95720	20.566200069719848	-15.760823639323412	58.52032	-37.4646036810185	66.11783171696602
95741	18.237981191551388	-18.31942723494974	58.5472	-45.12764873181317	66.17734035186065
95762	15.595397135040317	-20.539248777742003	58.57408	-52.79069378260789	66.23698930243748
95775	19.613011960968144	-16.68703963261671	58.59072	-40.39162643310004	66.27398562443376
95796	17.171751820463015	-19.107797090623116	58.6176	-48.05467148389562	66.3338640109918
95809	20.843171767147567	-14.952862278091866	58.63424	-35.65560413438783	66.37100323950717
95830	18.618345475824402	-17.556486325243135	58.66112	-43.31864918518329	66.43111390354925
95851	16.072120247055622	-19.834455040766425	58.688	-50.98169423597801	66.49136947793632
95885	17.585526504822855	-18.367302905918784	58.73152	-46.245671937264945	66.58923622922896
95906	14.942627723464657	-20.498007370423725	58.7584	-53.908716988060405	66.6498766763731
95919	18.966532831882198	-16.78586623727041	58.77504	-41.50964963855262	66.68749061188662
95940	16.51796513846472	-19.117819750119626	58.80192	-49.172694689348134	66.74837293732871
95953	20.20661442151991	-15.10197778923092	58.81856	-36.7736273398404	66.7861375611481
95974	17.967537578954076	-17.61765547839079	58.84544	-44.43667239063507	66.8472648649198
95995	15.419144901888544	-19.806562253762376	58.87232	-52.09971744142979	66.90854505611985
96008	19.28230349238529	-16.0088463714893	58.88896	-39.70065009192194	66.94655756427413
96029	16.932524004766996	-18.390579869117488	58.91584	-47.36369514271752	67.00808788876792
96042	20.45423261574389	-14.303397119238463	58.93248	-34.96462779320967	67.04625624965715
96063	18.31748153216112	-16.860122737078058	58.95936	-42.62767284400519	67.10803998397134
96084	15.864916536423541	-19.103086503356334	58.98624	-50.29071789479991	67.16998190388253
96097	19.565460510082556	-15.226716873114832	59.00288	-37.89165054529212	67.20840673956606
96118	17.315429982595408	-17.653988752127255	59.02976	-45.55469559608679	67.27060752112972
96139	14.768206878667172	-19.75381830176859	59.05664	-53.217740646882305	67.33296991518029
96152	18.6350969053808	-16.09598562899045	59.07328	-40.81867329737452	67.37165678203412
96173	16.2795129384464	-18.38881579823335	59.10016	-48.481718348170034	67.43428368510004
96186	19.81584981761929	-14.440777464027274	59.1168	-36.082650998662245	67.47313540116104
96207	17.66635735617454	-16.909315001546837	59.14368	-43.74569604945691	67.53603040645385
96228	15.213166457982355	-19.063168561603817	59.17056	-51.40874110025163	67.59909283454574
96241	18.92016438903869	-15.32653697518629	59.1872	-39.00967375074379	67.63821600266532
96262	16.662544528009338	-17.665003243863435	59.21408	-46.67271880153936	67.70155251811667
96296	17.98502168895558	-16.157841349877085	59.2576	-41.93669650282703	67.80446094516147
96317	15.627037641778264	-18.361539305625907	59.28448	-49.599741553621755	67.86824894352891
96330	19.172506846779612	-14.553080359696688	59.30112	-37.200674204113966	67.90782440034343
96364	20.21792329890561	-12.862708919584936	59.34464	-32.4646519054009	68.0116493144767
96372	14.56328173225028	-18.997606306393052	59.35488	-52.52676430570415	68.03614647878562
96385	18.271179876513006	-15.40086357350479	59.37152	-40.12769695619636	68.07600985973903
96406	16.009406637654894	-17.65018347072379	59.3984	-47.79074200699188	68.14055053416023
96440	17.33255637434699	-16.193845628623343	59.44192	-43.05471970827881	68.24543097653377
96453	20.36951327944161	-12.073217114135426	59.45856	-30.655652358770965	68.28565966910678
96461	14.975647387887394	-18.308244368962885	59.4688	-50.71776475907353	68.31045107788681
96474	18.52463011622981	-14.639689445588388	59.48544	-38.31869740956569	68.35079474349578
96495	16.359898869952293	-16.9303714425447	59.51232	-45.98174246036126	68.41611690761701
96508	19.578518599191316	-12.999405016365941	59.52896	-33.582675110853415	68.45664894056509
96529	17.61895903746046	-15.449084255407831	59.55584	-41.24572016164893	68.52227764254124
96542	20.488146765761755	-11.285188024760874	59.57248	-28.846652812141144	68.56300084693068
96563	18.745211788609545	-13.875637736355559	59.59936	-36.509697862935866	68.62894067209392
96584	16.678178979689612	-16.203390058374797	59.62624	-44.17274291373053	68.6950750018244
96597	19.732043586735358	-12.221837881299868	59.64288	-31.773675564222742	68.73611356921194
96631	20.573882430873827	-10.499953178970893	59.6864	-27.03765326551047	68.84380409677235
96639	15.705572333099171	-16.90107009630425	59.69664	-47.09976566581378	68.86921912873153
96652	18.93280524421106	-13.110037270213027	59.71328	-34.70069831630599	68.91058088685512
96673	16.963950721190677	-15.470541655139748	59.74016	-42.36374336710071	68.97756009317509
96686	19.85255439636549	-11.445564105772569	59.7568	-29.964676017592865	69.01912569834334
96694	14.704490380876948	-17.540777983803835	59.76704	-50.026788417895375	69.04474366005623
96707	18.093415617829017	-13.947756699129124	59.78368	-37.62772106838753	69.08643676203181
96720	20.62682060152899	-9.71884765648374	59.80032	-25.228653718879855	69.1282094100603
