id	x	y	z	longitude	latitude	continent
63586	61.50945943507716	-3.196253207209519	17.3888	-2.9746197643568166	15.765451828286857	Africa
59129	-54.01004447558429	32.28626609875795	11.68384	149.12975125439462	10.518908208461868	Continentless
44938	50.04277460446018	-39.36650879970938	-6.48064	-38.19061465830413	-5.811731490058743	South America
88010	25.253482121514253	-33.034697553147964	48.65152	-52.60377788910114	49.480068860904055	Continentless
39022	-49.374780200451326	-38.218331968084634	-14.05312	-142.25849463431186	-12.684365579634376	Continentless
27593	47.4446713344995	31.973931108697307	-28.68224	33.976833248414295	-26.625692608674107	Continentless
33351	-6.0236192187353534	-60.045937976749784	-21.312	-95.72856686959574	-19.45096478286684	Continentless
71464	37.81600081849048	-43.717320749633394	27.47264	-49.13980596263457	25.420607049220568	Continentless
27877	-42.804506719421774	-38.233810980185794	-28.31872	-138.22815696233857	-26.262222268759785	Continentless
43111	-1.6656410058333275	-63.367557562207544	-8.8192	-91.50569523913003	-7.920561660613028	Continentless
16165	14.008670285566753	44.988822247574774	-43.31008	72.70439708110256	-42.58786092982194	Continentless
75282	-54.891662724320376	-5.979671701444584	32.35968	-173.78294900719214	30.372517996643637	Continentless
13500	27.587899118105607	33.941564746057715	-46.72128	50.89559043200549	-46.888070750694645	Continentless
41865	-28.502745214639283	-56.348384652827065	-10.41408	-116.83168889195385	-9.364810160317088	Continentless
47481	-60.227988024700025	-21.40525550271686	-3.2256	-160.43459390458744	-2.8889312267841385	Continentless
93362	-28.680224479398976	-13.891142483067547	55.50208	-154.15697369173924	60.13717519302286	North America
67723	17.901595319823418	-57.10483140768105	22.68416	-72.59449477099241	20.759127184548333	Continentless
21847	36.46649670999367	-38.308231488880054	-36.03712	-46.41093523402998	-34.26906903438358	Continentless
46769	-63.61396416667206	-5.670019837686848	-4.13696	-174.90659027762962	-3.70618319226916	Continentless
94858	16.526575236345646	22.93828710509585	57.41696	54.22800745161867	63.78464293018459	Eurasia
6147	-2.42020279454319	-30.64662228531696	-56.13311999999999	-94.51534963959476	-61.29210695803018	Continentless
51660	-26.647033804805123	58.15003226323416	2.12352	114.61944098718676	1.901422956482938	Continentless
65389	-21.352097123529713	57.02745234654757	19.69664	110.52679801737776	17.92428942481107	Continentless
30481	58.282323110344954	-8.653935838758606	-24.9856	-8.445743260931522	-22.97939085601339	Continentless
21229	46.79661786168797	-23.447029400790765	-36.82816	-26.61275231063121	-35.13045148919393	Continentless
99500	8.307281799615453	3.558323912093727	63.35872	23.187287175863123	81.88226640089827	Continentless
64062	27.56746443459921	54.8826386115018	17.99808	63.32969241762079	16.333031613891006	Continentless
85154	-0.3412859467045143	-45.511074548915914	44.99584	-90.42965098096658	44.67302672005998	North America
28651	57.121579322300576	-9.290080286311994	-27.328	-9.237531691643769	-25.277322707543476	Continentless
31208	-13.754200906463971	57.69035454929208	-24.05504	103.40979236154276	-22.07747605987201	Continentless
15149	-8.435769966712773	45.1080449759808	-44.61056	100.59267191957046	-44.19000257848907	Continentless
54368	61.15971120052453	-18.00678508259692	5.58976	-16.405606515343834	5.010597575357168	Continentless
893	-10.285940015095576	-6.248287934166879	-62.85824	-148.7230307406668	-79.16115942232757	Antarctica
7399	-33.333115839872576	-3.3647309687456444	-54.53056	-174.23594028699816	-58.43424915019484	Continentless
93145	-31.248059508367685	8.356629553780133	55.22432	165.02782516647687	59.64150350622014	Continentless
35448	0.5238671908326944	-61.226866162663995	-18.62784	-89.50977979899261	-16.921427331582752	Continentless
21743	-43.566814727855295	-29.826940721621636	-36.17024	-145.60347403009234	-34.41340273183658	Continentless
79688	-45.88156533505859	-23.386547457783266	37.99936	-152.99135347401264	36.422861586814946	Continentless
42441	-32.87053106474676	-54.054488521135035	-9.6768	-121.30378171376242	-8.69647471054825	Continentless
58467	-10.1602283336452	62.252232581794146	10.83648	99.26955237945933	9.748284783838097	Continentless
68429	40.63287132212034	43.45783671852997	23.58784	46.92408590227693	21.626836135594296	Eurasia
16180	-46.43342164601662	8.114004132907208	-43.29088	170.08793633053503	-42.56451866983304	Continentless
97725	17.998147620681586	6.362336195593076	61.08672	19.468475993067983	72.64597958300033	Continentless
88563	-28.50210424443504	-29.108136904133147	49.35936	-134.3972975600389	50.46537071909336	Continentless
64786	-41.1398971492043	-45.22566536285443	18.9248	-132.29147980979138	17.199517174296535	Continentless
23945	-54.578930916866426	-2.192200070596318	-33.35168	-177.6999122134647	-31.40740890798845	Continentless
90691	12.158532111520104	-35.14982751953606	52.0832	-70.9191960406099	54.468880835074664	North America
26179	19.28655407925601	52.860732214776725	-30.49216	69.95520000195133	-28.453149758225543	Continentless
68157	58.89149182000202	9.365333134076716	23.23968	9.035907512575424	21.291930002554615	Africa
69662	29.55463637288795	50.88410249085631	25.16608	59.85101220559294	23.155006171977664	Continentless
28833	-55.83185852936904	15.641687266881464	-27.09504	164.34941120146527	-25.046900831763143	Continentless
56454	29.404357934453557	56.241966338641994	8.25984	62.39858510567576	7.415276699831733	Continentless
17789	37.549312305788845	-31.4010206508122	-41.23136	-39.9044201803855	-40.10871717105671	Continentless
47571	28.15625313748059	57.38946611616207	-3.1104	63.86664159200494	-2.785672226830933	Continentless
79331	47.810259895199515	-20.018672558226143	37.5424	-22.719587610495864	35.916103277570635	Continentless
76642	52.14881011454926	14.617074515999589	34.10048	15.657942941315367	32.19618962436067	Continentless
54320	-15.389567950943764	61.87567273380456	5.52832	103.96706788647352	4.9553849502770895	Continentless
68370	-29.868224580546286	-51.48844500102573	23.51232	-120.1178351454892	21.554125565565943	Continentless
